DATE,OPEN,CLOSE,HIGH,LOW,VOL,AMO,Capital,Fun
20221223,3.76,3.78,3.83,3.74,190740.640625,72229920.000000,40028872.000000,1.000000
20221226,3.78,3.78,3.8,3.68,219490.406250,82267952.000000,40028872.000000,0.000000
20221227,3.79,3.81,3.88,3.77,262929.281250,100780928.000000,40028872.000000,1.000000
20221228,3.82,3.88,3.91,3.72,316303.531250,121826888.000000,40028872.000000,1.000000
20221229,3.83,3.75,3.87,3.74,243382.687500,91873088.000000,40028872.000000,0.000000
20221230,3.8,3.76,3.8,3.73,169722.921875,63809072.000000,40028872.000000,0.000000
20230103,3.77,3.78,3.82,3.73,243610.156250,92020544.000000,40028872.000000,1.000000
20230104,3.78,3.85,3.9,3.75,306227.031250,118021816.000000,40028872.000000,1.000000
20230105,3.85,3.85,3.87,3.81,203455.421875,78175656.000000,40028872.000000,0.000000
20230106,3.95,3.81,4.02,3.79,263034.593750,101823528.000000,40028872.000000,0.000000
20230109,3.83,3.76,3.83,3.76,185935.000000,70483680.000000,40028872.000000,0.000000
20230110,3.75,3.7,3.77,3.69,135451.265625,50398076.000000,40028872.000000,0.000000
20230111,3.76,3.68,3.76,3.67,175144.578125,65062920.000000,40028872.000000,0.000000
20230112,3.67,3.63,3.68,3.58,198674.593750,71914808.000000,40028872.000000,0.000000
20230113,3.62,3.65,3.66,3.61,91563.531250,33275504.000000,40028872.000000,1.000000
20230116,3.65,3.7,3.72,3.61,163333.640625,59992084.000000,40028872.000000,1.000000
20230117,3.7,3.68,3.71,3.65,100507.257812,36964784.000000,40028872.000000,0.000000
20230118,3.69,3.67,3.72,3.66,92947.757812,34196576.000000,40028872.000000,0.000000
20230119,3.65,3.69,3.7,3.63,138873.000000,51024436.000000,40028872.000000,1.000000
20230120,3.71,3.73,3.73,3.68,135563.468750,50346336.000000,40028872.000000,1.000000
20230130,3.8,3.73,3.82,3.72,188482.796875,70784080.000000,40028872.000000,0.000000
20230131,3.64,3.75,3.76,3.6,226148.359375,83351552.000000,40028872.000000,1.000000
20230201,3.78,3.74,3.79,3.68,188369.281250,69976928.000000,40028872.000000,0.000000
20230202,3.76,3.8,3.8,3.7,236752.593750,88914424.000000,40028872.000000,1.000000
20230203,3.81,3.72,3.82,3.71,191827.703125,71873832.000000,40028872.000000,0.000000
20230206,3.71,3.66,3.73,3.64,178475.781250,65423684.000000,40028872.000000,0.000000
20230207,3.68,3.73,3.74,3.66,139659.203125,51846500.000000,40028872.000000,1.000000
20230208,3.76,3.74,3.79,3.72,175119.187500,65811496.000000,40028872.000000,0.000000
20230209,3.73,3.76,3.76,3.69,113156.210938,42279612.000000,40028872.000000,1.000000
20230210,3.76,3.78,3.8,3.73,147536.296875,55647472.000000,40028872.000000,1.000000
20230213,3.79,3.79,3.81,3.75,160059.156250,60442040.000000,40028872.000000,0.000000
20230214,3.79,3.8,3.84,3.78,150802.921875,57417712.000000,40028872.000000,1.000000
20230215,3.8,3.74,3.81,3.72,139095.046875,52035104.000000,40028872.000000,0.000000
20230216,3.74,3.68,3.81,3.66,185885.062500,69605520.000000,40028872.000000,0.000000
20230217,3.7,3.68,3.73,3.67,111537.640625,41231008.000000,40028872.000000,0.000000
20230220,3.69,3.72,3.73,3.66,111078.093750,41070192.000000,40028872.000000,1.000000
20230221,3.82,3.75,3.86,3.74,256696.718750,97350656.000000,40028872.000000,0.000000
20230222,3.74,3.76,3.77,3.7,128403.187500,48103220.000000,40028872.000000,1.000000
20230223,3.79,3.76,3.79,3.73,163870.281250,61536468.000000,40028872.000000,0.000000
20230224,3.77,3.73,3.77,3.68,116539.789062,43312748.000000,40028872.000000,0.000000
20230227,3.78,3.7,3.78,3.69,112437.367188,41983812.000000,40028872.000000,0.000000
20230228,3.69,3.74,3.74,3.68,89129.000000,33058858.000000,40028872.000000,1.000000
20230301,3.74,3.77,3.77,3.74,102340.289062,38411368.000000,40028872.000000,1.000000
20230302,3.77,3.78,3.8,3.74,144170.781250,54420728.000000,40028872.000000,1.000000
20230303,3.76,3.79,3.8,3.76,122207.132812,46242576.000000,40028872.000000,1.000000
20230306,3.8,3.75,3.8,3.72,116188.531250,43614696.000000,40028872.000000,0.000000
20230307,3.75,3.69,3.77,3.68,132794.125000,49445172.000000,40028872.000000,0.000000
20230308,3.68,3.71,3.72,3.66,81481.000000,30089236.000000,40028872.000000,1.000000
20230309,3.71,3.67,3.72,3.66,118736.101562,43642764.000000,40028872.000000,0.000000
20230310,3.65,3.6,3.67,3.6,114538.203125,41478616.000000,40028872.000000,0.000000
20230313,3.62,3.58,3.63,3.56,101656.257812,36433728.000000,40028872.000000,0.000000
20230314,3.57,3.55,3.57,3.49,129889.257812,45962856.000000,40028872.000000,0.000000
20230315,3.55,3.57,3.59,3.54,70375.156250,25086890.000000,40028872.000000,1.000000
20230316,3.57,3.56,3.63,3.53,125078.468750,44808008.000000,40028872.000000,0.000000
20230317,3.58,3.6,3.64,3.56,111564.140625,40256412.000000,40028872.000000,1.000000
20230320,3.64,3.57,3.66,3.56,121195.937500,43675116.000000,40028872.000000,0.000000
20230321,3.59,3.57,3.59,3.54,91058.773438,32411920.000000,40028872.000000,0.000000
20230322,3.57,3.6,3.61,3.54,78945.000000,28305378.000000,40028872.000000,1.000000
20230323,3.59,3.57,3.6,3.55,100123.601562,35691644.000000,40028872.000000,0.000000
20230324,3.61,3.93,3.93,3.56,849474.250000,324600704.000000,40028872.000000,1.000000
20230327,3.89,3.82,3.98,3.81,785300.062500,303320192.000000,40028872.000000,0.000000
20230328,3.85,3.85,3.99,3.79,599728.375000,233474480.000000,40028872.000000,0.000000
20230329,3.84,3.78,3.93,3.77,404604.625000,154471040.000000,40028872.000000,0.000000
20230330,3.82,3.73,3.84,3.68,331072.750000,123127696.000000,40028872.000000,0.000000
20230331,3.72,3.73,3.78,3.71,231751.843750,86804072.000000,40028872.000000,1.000000
20230403,3.73,3.79,3.83,3.69,343336.250000,130054344.000000,40028872.000000,1.000000
20230404,3.79,3.75,3.81,3.72,200608.765625,75350016.000000,40028872.000000,0.000000
20230406,3.76,3.73,3.78,3.71,155909.046875,58476188.000000,40028872.000000,0.000000
20230407,3.73,3.93,3.98,3.73,567581.625000,221978992.000000,40028872.000000,1.000000
20230410,3.88,3.87,3.93,3.83,315108.906250,122093272.000000,40028872.000000,0.000000
20230411,3.87,4.03,4.05,3.83,560245.250000,222639040.000000,40028872.000000,1.000000
20230412,4.05,4.02,4.09,3.94,360003.906250,144047904.000000,40028872.000000,0.000000
20230413,4.03,4.04,4.05,3.97,313129.250000,125521072.000000,40028872.000000,1.000000
20230414,3.99,3.96,4.03,3.93,304682.718750,120843112.000000,40028872.000000,0.000000
20230417,3.94,3.97,3.98,3.9,208248.375000,82195952.000000,40028872.000000,1.000000
