DATE,OPEN,CLOSE,HIGH,LOW,VOL,AMO,Capital,Fun
20221223,20.41,20.46,21.17,20.01,322526.875000,672136064.000000,6447637.000000,20.262833
20221226,20.47,21.37,21.45,20.18,403241.468750,848368448.000000,6447637.000000,20.352863
20221227,21.26,20.76,21.39,20.21,345620.625000,726344064.000000,6447637.000000,20.382874
20221228,20.72,19.81,21.41,19.73,416007.812500,854097920.000000,6447637.000000,20.292843
20221229,19.92,19.96,20.59,19.74,366141.093750,744923328.000000,6447637.000000,20.092773
20221230,19.81,19.96,20.47,19.44,296318.687500,597587840.000000,6447637.000000,19.932720
20230103,20.36,21.98,21.98,19.98,399675.531250,850323136.000000,6447637.000000,19.972733
20230104,23.26,24.2,24.2,23.11,531628.625000,1281719168.000000,6447637.000000,20.022751
20230105,24.51,23.86,24.71,23.12,842555.437500,2027484288.000000,6447637.000000,20.102777
20230106,23.87,24.32,24.66,23.5,649714.062500,1579797632.000000,6447637.000000,20.172802
20230109,24.3,24.22,24.76,23.91,461950.625000,1131257216.000000,6447637.000000,20.222818
20230110,23.99,23.77,24.38,23.49,367528.812500,885065536.000000,6447637.000000,20.252829
20230111,23.52,23.38,24.6,23.21,446795.750000,1075165824.000000,6447637.000000,20.312849
20230112,23.22,23.23,24.06,23,421514.531250,995667136.000000,6447637.000000,20.362865
20230113,23.19,22.27,23.32,22.01,409887.250000,932283264.000000,6447637.000000,20.412882
20230116,22.81,23.05,23.71,22.49,351330.625000,821982272.000000,6447637.000000,20.462900
20230117,23.21,23.04,23.57,22.71,262272.437500,611432768.000000,6447637.000000,20.502913
20230118,23.01,24.01,24.69,22.75,478572.406250,1158389888.000000,6447637.000000,20.572937
20230119,24.01,25.15,26.17,23.89,596894.062500,1512820224.000000,6447637.000000,20.662968
20230120,25.26,26.84,27.68,25.09,834050.312500,2256780032.000000,6447637.000000,20.803015
20230130,26.91,27.77,28.3,26.11,655094.000000,1804258688.000000,6447637.000000,20.933060
20230131,27.46,26.81,27.87,26.58,359364.250000,979165312.000000,6447637.000000,21.023090
20230201,26.72,27.69,27.81,26.49,403775.812500,1102427136.000000,6447637.000000,21.163137
20230202,27.32,27.79,29.41,27.25,447774.687500,1272290176.000000,6447637.000000,21.683315
20230203,27.51,28.87,29.81,27.34,595735.062500,1710955136.000000,6447637.000000,22.513597
20230206,29.01,28.58,29.79,27.71,433442.593750,1255069952.000000,6447637.000000,22.673651
20230207,28.44,27.3,28.47,26.93,362105.843750,1003359616.000000,6447637.000000,22.783688
20230208,27.17,27.15,27.6,26.2,270633.625000,730378432.000000,6447637.000000,22.853712
20230209,26.82,27.34,27.6,26.54,261843.953125,715611456.000000,6447637.000000,22.913733
20230210,27.28,27.11,28.08,26.43,342413.437500,936950016.000000,6447637.000000,22.993759
20230213,27.2,27.2,27.99,26.81,284340.218750,783290688.000000,6447637.000000,23.043777
20230214,27.2,26.5,27.47,26.23,257747.234375,689347904.000000,6447637.000000,23.093794
20230215,26.38,27.1,27.98,26.31,344083.156250,938595968.000000,6447637.000000,23.153814
20230216,27.61,27.61,29.67,26.25,627695.625000,1746857088.000000,6447637.000000,23.273855
20230217,27.56,25.81,27.56,25.21,547707.500000,1433185664.000000,6447637.000000,23.383892
20230220,25.71,25.96,26.43,25.36,275654.718750,721856832.000000,6447637.000000,23.433908
20230221,25.96,26.72,27.65,25.9,409510.687500,1103877760.000000,6447637.000000,23.513937
20230222,26.6,26.96,27.64,26.37,348266.312500,946734976.000000,6447637.000000,23.573957
20230223,26.68,25.19,26.89,24.81,433815.750000,1119094656.000000,6447637.000000,23.653984
20230224,25.19,25.31,25.45,24.61,200991.515625,508038304.000000,6447637.000000,23.693998
20230227,24.82,24.84,25.51,24.21,207175.406250,519682368.000000,6447637.000000,23.734011
20230228,26.81,25.83,27.16,25.42,530571.125000,1399809408.000000,6447637.000000,23.824041
20230301,26.19,28.43,28.43,26.13,977492.875000,2738118144.000000,6447637.000000,24.034113
20230302,27.82,28.17,28.54,27.42,600119.250000,1700139264.000000,6447637.000000,24.194168
20230303,27.88,28.23,28.92,27.52,465215.000000,1328795136.000000,6447637.000000,24.334215
20230306,28.5,27.53,28.87,27.32,444280.437500,1253995776.000000,6447637.000000,24.504272
20230307,28.37,28.26,29.71,27.99,700573.500000,2018116608.000000,6447637.000000,24.794373
20230308,29.03,29.8,30.31,28.49,759691.750000,2253814528.000000,6447637.000000,25.004442
20230309,28.9,28.65,29.71,28.3,500656.718750,1452012544.000000,6447637.000000,25.134487
20230310,28.59,29.64,30.76,28.31,692151.687500,2066697216.000000,6447637.000000,25.414583
20230313,29.31,32.62,32.62,28.69,671643.625000,2089948672.000000,6447637.000000,25.664667
