DATE,OPEN,CLOSE,HIGH,LOW,VOL,AMO,Capital,Fun
20221223,3.96,3.93,3.97,3.89,43010.500000,19041988.000000,16922096.000000,-40398103346332700115513287714537472.000000
20221226,3.96,4,4,3.92,40171.718750,17934076.000000,16922096.000000,-40398103346332700115513287714537472.000000
20221227,4,4,4.04,3.96,30339.099609,13638516.000000,16922096.000000,0.000000
20221228,4,3.92,4,3.89,42337.839844,18742998.000000,16922096.000000,0.000000
20221229,3.92,3.87,3.94,3.86,36078.378906,15849537.000000,16922096.000000,0.000000
20221230,3.91,3.9,3.94,3.87,27840.000000,12256024.000000,16922096.000000,0.000000
20230103,3.9,3.98,4,3.87,49969.960938,22230378.000000,16922096.000000,0.000000
20230104,4,4.01,4.04,3.96,41618.078125,18766756.000000,16922096.000000,0.000000
20230105,4.06,4.12,4.15,4.03,56750.199219,26129668.000000,16922096.000000,0.000000
20230106,4.12,4.17,4.21,4.1,59168.820312,27637416.000000,16922096.000000,0.000000
20230109,4.19,4.17,4.22,4.15,39558.421875,18539142.000000,16922096.000000,0.000000
20230110,4.17,4.19,4.21,4.14,42815.000000,20043532.000000,16922096.000000,0.000000
20230111,4.21,4.18,4.24,4.16,40090.000000,18823768.000000,16922096.000000,0.000000
20230112,4.19,4.2,4.22,4.16,29922.800781,14051022.000000,16922096.000000,0.000000
20230113,4.2,4.22,4.24,4.17,25747.000000,12115575.000000,16922096.000000,0.000000
20230116,4.19,4.23,4.25,4.18,46554.429688,21956354.000000,16922096.000000,0.000000
20230117,4.23,4.27,4.29,4.21,46534.628906,22168728.000000,16922096.000000,0.000000
20230118,4.25,4.23,4.29,4.21,31072.000000,14739915.000000,16922096.000000,0.000000
20230119,4.24,4.3,4.3,4.23,48323.019531,23102368.000000,16922096.000000,0.000000
20230120,4.31,4.3,4.31,4.26,35950.089844,17216008.000000,16922096.000000,0.000000
20230130,4.36,4.38,4.43,4.31,56003.371094,27345778.000000,16922096.000000,0.000000
20230131,4.37,4.38,4.4,4.35,44728.128906,21775234.000000,16922096.000000,0.000000
20230201,4.39,4.5,4.53,4.38,87273.132812,43371944.000000,16922096.000000,0.000000
20230202,4.58,4.51,4.63,4.49,83661.531250,42169184.000000,16922096.000000,0.000000
20230203,4.52,4.45,4.54,4.39,51898.140625,25647976.000000,16922096.000000,0.000000
20230206,4.44,4.45,4.49,4.39,61785.199219,30591952.000000,16922096.000000,0.000000
20230207,4.46,4.54,4.56,4.4,66578.531250,33378588.000000,16922096.000000,0.000000
20230208,4.53,4.54,4.57,4.5,45735.761719,23047262.000000,16922096.000000,0.000000
20230209,4.54,4.58,4.59,4.52,49815.398438,25213744.000000,16922096.000000,0.000000
20230210,4.76,4.62,4.76,4.56,104220.000000,53436392.000000,16922096.000000,0.000000
20230213,4.62,4.56,4.62,4.53,60406.199219,30648840.000000,16922096.000000,0.000000
20230214,4.58,4.57,4.6,4.55,43994.781250,22294386.000000,16922096.000000,0.000000
20230215,4.59,4.57,4.59,4.55,45103.031250,22874590.000000,16922096.000000,0.000000
20230216,4.58,4.48,4.61,4.44,61029.761719,30777456.000000,16922096.000000,0.000000
20230217,4.49,4.49,4.53,4.45,48275.628906,24126434.000000,16922096.000000,0.000000
20230220,4.5,4.52,4.59,4.46,61274.460938,30767562.000000,16922096.000000,0.000000
20230221,4.55,4.6,4.64,4.55,69455.390625,35376784.000000,16922096.000000,0.000000
20230222,4.6,4.62,4.65,4.56,53845.660156,27547640.000000,16922096.000000,0.000000
20230223,4.62,4.67,4.68,4.59,59281.039062,30570198.000000,16922096.000000,0.000000
20230224,4.68,4.71,4.76,4.62,90958.421875,47300884.000000,16922096.000000,0.000000
20230227,4.65,4.69,4.76,4.65,70184.781250,36646616.000000,16922096.000000,0.000000
20230228,4.68,4.71,4.74,4.63,51526.300781,26735634.000000,16922096.000000,0.000000
20230301,4.68,4.67,4.73,4.65,56202.000000,29022984.000000,16922096.000000,0.000000
20230302,4.65,4.67,4.72,4.64,47315.839844,24478868.000000,16922096.000000,0.000000
20230303,4.68,4.66,4.71,4.61,44484.601562,22947408.000000,16922096.000000,0.000000
20230306,4.65,4.69,4.7,4.61,55549.851562,28658006.000000,16922096.000000,0.000000
20230307,4.68,4.6,4.7,4.58,52046.601562,26726604.000000,16922096.000000,0.000000
20230308,4.57,4.6,4.6,4.55,36101.980469,18318078.000000,16922096.000000,0.000000
20230309,4.6,4.57,4.64,4.53,35326.578125,17879404.000000,16922096.000000,0.000000
20230310,4.55,4.46,4.55,4.44,56681.398438,28286730.000000,16922096.000000,0.000000
20230313,4.46,4.35,4.47,4.31,76809.921875,37358132.000000,16922096.000000,1.000000
20230314,4.37,4.27,4.38,4.2,56510.000000,26975588.000000,16922096.000000,1.000000
20230315,4.27,4.28,4.31,4.26,34024.640625,16279412.000000,16922096.000000,0.000000
20230316,4.27,4.27,4.38,4.25,58785.140625,28295298.000000,16922096.000000,0.000000
20230317,4.3,4.21,4.33,4.21,61810.398438,29321218.000000,16922096.000000,0.000000
20230320,4.22,4.22,4.34,4.2,81882.320312,39034360.000000,16922096.000000,0.000000
20230321,4.28,4.31,4.32,4.22,40436.460938,19322530.000000,16922096.000000,0.000000
20230322,4.35,4.34,4.37,4.31,28456.650391,13768314.000000,16922096.000000,0.000000
20230323,4.3,4.29,4.34,4.26,32137.140625,15388396.000000,16922096.000000,0.000000
20230324,4.29,4.27,4.35,4.26,37753.761719,18079660.000000,16922096.000000,0.000000
20230327,4.28,4.26,4.29,4.21,41400.000000,19660714.000000,16922096.000000,1.000000
20230328,4.29,4.25,4.29,4.21,34342.421875,16303299.000000,16922096.000000,1.000000
20230329,4.28,4.24,4.29,4.23,27611.000000,13139713.000000,16922096.000000,1.000000
20230330,4.25,4.26,4.27,4.21,31557.390625,14968770.000000,16922096.000000,0.000000
20230331,4.26,4.31,4.31,4.24,41167.039062,19664276.000000,16922096.000000,0.000000
20230403,4.3,4.27,4.33,4.26,51310.000000,24542040.000000,16922096.000000,0.000000
20230404,4.26,4.21,4.3,4.18,54054.238281,25483170.000000,16922096.000000,0.000000
