DATE,OPEN,CLOSE,HIGH,LOW,VOL,AMO,Capital,Fun
20210402,6.44,6.4,6.48,6.33,52449.148438,39383580.000000,16922096.000000,0.000000
20210406,6.4,6.85,6.92,6.38,132619.578125,104117344.000000,16922096.000000,1.000000
20210407,6.85,6.86,6.97,6.74,75391.218750,59786296.000000,16922096.000000,1.000000
20210408,6.92,6.67,6.93,6.62,67732.851562,53100736.000000,16922096.000000,1.000000
20210409,6.66,6.77,6.8,6.57,54375.968750,42417000.000000,16922096.000000,1.000000
20210412,6.82,6.75,6.86,6.6,57559.390625,44977264.000000,16922096.000000,1.000000
20210413,6.74,6.44,6.79,6.36,53689.308594,40778444.000000,16922096.000000,0.000000
20210414,6.46,6.29,6.47,6.08,91926.929688,67451240.000000,16922096.000000,0.000000
20210415,6.25,6.33,6.34,6.09,52308.160156,38177824.000000,16922096.000000,1.000000
20210416,6.38,6.39,6.58,6.31,61762.710938,46669756.000000,16922096.000000,1.000000
20210419,6.43,6.39,6.52,6.37,105404.328125,79118008.000000,16922096.000000,1.000000
20210420,6.4,6.41,6.69,6.32,100122.476562,75791528.000000,16922096.000000,1.000000
20210421,6.38,6.32,6.38,6.16,40819.769531,30138922.000000,16922096.000000,1.000000
20210422,6.3,6.24,6.39,6.23,34658.000000,25617558.000000,16922096.000000,0.000000
20210423,6.3,6.31,6.32,6.15,36120.898438,26457084.000000,16922096.000000,1.000000
20210426,6.38,6.17,6.41,6.12,59280.640625,43729704.000000,16922096.000000,1.000000
20210427,6.28,6.07,6.28,5.85,55976.140625,39782708.000000,16922096.000000,0.000000
20210428,6,6.08,6.15,5.92,45479.890625,32543808.000000,16922096.000000,1.000000
20210429,6.18,5.99,6.18,5.99,55268.230469,39659104.000000,16922096.000000,1.000000
20210430,6.03,6.1,6.24,5.96,77164.546875,55698344.000000,16922096.000000,1.000000
20210506,6.05,5.97,6.18,5.95,69041.328125,49174692.000000,16922096.000000,1.000000
20210507,6.02,5.95,6.09,5.91,58880.750000,41700688.000000,16922096.000000,0.000000
20210510,5.94,6.1,6.17,5.88,78460.187500,56021516.000000,16922096.000000,1.000000
20210511,6.11,6,6.2,5.72,94606.437500,66194408.000000,16922096.000000,1.000000
20210512,5.89,5.88,5.89,5.74,52339.980469,36278564.000000,16922096.000000,0.000000
20210513,5.86,5.76,5.89,5.72,48229.921875,33198696.000000,16922096.000000,0.000000
20210514,5.8,5.74,5.82,5.67,65211.421875,44476900.000000,16922096.000000,0.000000
20210517,5.73,5.64,5.73,5.63,40950.769531,27714906.000000,16922096.000000,0.000000
20210518,5.65,5.65,5.87,5.62,56826.050781,38630704.000000,16922096.000000,0.000000
20210519,5.64,5.7,5.72,5.57,45022.480469,30441720.000000,16922096.000000,1.000000
20210520,5.7,5.66,5.73,5.62,38879.800781,26296812.000000,16922096.000000,1.000000
20210521,5.66,5.73,5.79,5.65,41336.398438,28222402.000000,16922096.000000,1.000000
20210524,5.75,5.78,5.78,5.66,34445.281250,23475034.000000,16922096.000000,1.000000
20210525,5.75,5.75,5.76,5.69,34991.070312,23875690.000000,16922096.000000,1.000000
20210526,5.73,5.69,5.78,5.68,30171.279297,20558910.000000,16922096.000000,0.000000
20210527,5.68,5.67,5.69,5.63,25545.830078,17273568.000000,16922096.000000,0.000000
20210528,5.7,5.68,5.74,5.66,23903.509766,16257275.000000,16922096.000000,0.000000
20210531,5.69,5.71,5.71,5.61,34816.250000,23491014.000000,16922096.000000,1.000000
20210601,5.71,5.75,5.84,5.62,78020.382812,53429104.000000,16922096.000000,1.000000
20210602,5.79,5.88,5.98,5.75,98312.617188,68677368.000000,16922096.000000,1.000000
20210603,5.9,5.67,5.9,5.65,91274.609375,62439184.000000,16922096.000000,1.000000
20210604,5.66,5.56,5.66,5.52,62046.128906,41435420.000000,16922096.000000,0.000000
20210607,5.56,5.5,5.59,5.49,52922.199219,35098240.000000,16922096.000000,0.000000
20210608,5.5,5.58,5.59,5.47,41896.320312,27815526.000000,16922096.000000,1.000000
20210609,5.58,5.51,5.66,5.5,59635.800781,39706596.000000,16922096.000000,1.000000
20210610,5.63,5.69,5.69,5.57,67888.507812,45730888.000000,16922096.000000,1.000000
