DATE,OPEN,CLOSE,HIGH,LOW,VOL,AMO,Capital,Fun
20221223,6.23,6.24,6.32,6.22,147562.359375,98360784.000000,1956774656.000000,6.240000
20221226,6.26,6.41,6.42,6.22,177080.000000,119435920.000000,1956774656.000000,6.274000
20221227,6.41,6.41,6.44,6.37,98805.382812,67294368.000000,1956774656.000000,6.301200
20221228,6.41,6.36,6.43,6.32,110923.257812,75021232.000000,1956774656.000000,6.312960
20221229,6.32,6.26,6.36,6.26,114065.132812,76360720.000000,1956774656.000000,6.302368
20221230,6.32,6.31,6.33,6.26,101712.351562,68077312.000000,1956774656.000000,6.303895
20230103,6.27,6.31,6.33,6.13,358254.312500,237775904.000000,1956484864.000000,6.305116
20230104,6.27,6.32,6.38,6.25,210890.937500,141902192.000000,1956484864.000000,6.308093
20230105,6.35,6.45,6.47,6.31,274031.437500,186012352.000000,1956484864.000000,6.336474
20230106,6.42,6.45,6.56,6.4,311833.625000,214945744.000000,1956484864.000000,6.359179
20230109,6.47,6.45,6.55,6.42,234145.937500,161060416.000000,1956484864.000000,6.377343
20230110,6.46,6.51,6.54,6.4,229697.437500,157962256.000000,1956484864.000000,6.403874
20230111,6.46,6.41,6.49,6.38,204932.562500,139874464.000000,1956484864.000000,6.405099
20230112,6.43,6.38,6.46,6.36,126141.757812,85845304.000000,1956484864.000000,6.400080
20230113,6.41,6.48,6.48,6.41,159197.062500,108971632.000000,1956484864.000000,6.416064
20230116,6.48,6.54,6.61,6.45,298950.718750,207710416.000000,1956484864.000000,6.440851
20230117,6.58,6.54,6.59,6.49,127038.867188,87966504.000000,1956484864.000000,6.460681
20230118,6.53,6.57,6.6,6.52,142682.734375,99336832.000000,1956484864.000000,6.482545
20230119,6.57,6.59,6.59,6.51,140447.015625,97749432.000000,1956484864.000000,6.504036
20230120,6.6,6.7,6.72,6.57,264430.187500,186851264.000000,1956484864.000000,6.543229
20230130,6.76,6.7,6.8,6.66,449903.531250,320368352.000000,1956484864.000000,6.574583
20230131,6.65,6.83,6.89,6.64,515942.093750,371412128.000000,1956484864.000000,6.625667
20230201,6.85,6.89,6.98,6.78,457060.468750,332091392.000000,1956484864.000000,6.678533
20230202,6.85,6.8,6.86,6.77,318719.750000,229802336.000000,1956484864.000000,6.702826
20230203,6.82,6.8,6.84,6.68,338141.750000,242241136.000000,1956484864.000000,6.722261
20230206,6.72,6.68,6.76,6.67,213012.312500,151362976.000000,1956484864.000000,6.713809
20230207,6.78,6.74,6.8,6.68,216897.437500,154821824.000000,1956484864.000000,6.719047
20230208,6.72,6.71,6.76,6.68,197527.703125,140474656.000000,1956484864.000000,6.717237
20230209,6.75,6.76,6.84,6.71,409130.625000,293028736.000000,1956484864.000000,6.725790
20230210,6.73,6.71,6.76,6.67,251140.156250,178533568.000000,1956484864.000000,6.722632
20230213,6.69,6.76,6.78,6.66,297835.093750,212490336.000000,1956484864.000000,6.730105
20230214,6.78,6.75,6.83,6.7,316609.812500,226681744.000000,1956484864.000000,6.734084
20230215,6.75,6.67,6.76,6.66,280584.125000,199150080.000000,1956484864.000000,6.721267
20230216,6.66,6.43,6.71,6.41,458137.843750,319639040.000000,1956484864.000000,6.663014
20230217,6.44,6.42,6.51,6.42,212454.593750,145882368.000000,1956484864.000000,6.614411
20230220,6.45,6.62,6.63,6.43,287101.281250,199526800.000000,1956484864.000000,6.615529
20230221,6.63,6.7,6.72,6.61,346384.718750,245361664.000000,1956484864.000000,6.632423
20230222,6.67,6.65,6.7,6.62,165137.921875,116496768.000000,1956484864.000000,6.635939
20230223,6.68,6.64,6.69,6.6,136183.031250,95873272.000000,1956484864.000000,6.636751
20230224,6.62,6.55,6.64,6.51,185821.718750,129296344.000000,1956484864.000000,6.619401
20230227,6.54,6.5,6.56,6.48,148926.125000,103001296.000000,1956484864.000000,6.595520
20230228,6.52,6.56,6.56,6.46,139713.296875,96588104.000000,1956484864.000000,6.588417
20230301,6.54,6.57,6.58,6.52,199309.875000,138766512.000000,1956484864.000000,6.584733
20230302,6.57,6.53,6.6,6.52,166730.046875,115994800.000000,1956484864.000000,6.573787
20230303,6.56,6.55,6.57,6.49,168550.218750,116918528.000000,1956484864.000000,6.569029
20230306,6.56,6.5,6.56,6.48,205522.406250,142060896.000000,1956484864.000000,6.555223
20230307,6.5,6.38,6.53,6.37,248409.765625,170168064.000000,1956484864.000000,6.520179
20230308,6.36,6.4,6.4,6.33,141869.671875,96124024.000000,1956484864.000000,6.496143
20230309,6.4,6.35,6.42,6.34,132649.312500,89734168.000000,1956484864.000000,6.466914
20230310,6.33,6.26,6.35,6.23,181606.640625,121156160.000000,1956484864.000000,6.425531
20230313,6.23,6.25,6.29,6.18,165712.656250,109926144.000000,1956484864.000000,6.390425
20230314,6.26,6.13,6.26,6.07,191287.078125,125305856.000000,1956484864.000000,6.338340
20230315,6.14,6.25,6.26,6.14,126378.937500,83739776.000000,1956484864.000000,6.320672
20230316,6.21,6.16,6.24,6.15,121934.851562,80332728.000000,1956484864.000000,6.288538
20230317,6.22,6.24,6.26,6.18,141022.656250,93415440.000000,1956484864.000000,6.278830
20230320,6.38,6.27,6.38,6.24,175513.796875,117235368.000000,1956484864.000000,6.277064
20230321,6.28,6.29,6.3,6.25,104301.992188,69636720.000000,1956484864.000000,6.279651
20230322,6.31,6.42,6.43,6.28,243690.062500,164590704.000000,1956484864.000000,6.307721
20230323,6.47,6.63,6.69,6.4,665455.687500,465914304.000000,1956484864.000000,6.372177
20230324,6.55,6.56,6.58,6.48,327285.468750,226751776.000000,1956484864.000000,6.409742
20230327,6.58,6.47,6.58,6.46,228201.156250,157341072.000000,1956484864.000000,6.421793
20230328,6.48,6.41,6.48,6.36,178405.515625,121318768.000000,1956484864.000000,6.419435
20230329,6.37,6.35,6.4,6.29,156907.578125,105666656.000000,1956484864.000000,6.405548
20230330,6.31,6.34,6.37,6.26,171458.375000,115060000.000000,1956484864.000000,6.392438
20230331,6.34,6.31,6.39,6.26,205962.781250,138595808.000000,1956484864.000000,6.375950
20230403,6.28,6.36,6.38,6.24,250324.765625,167938160.000000,1956484864.000000,6.372760
20230404,6.37,6.31,6.38,6.28,155937.109375,104790384.000000,1956484864.000000,6.360208
20230406,6.32,6.25,6.32,6.25,128056.039062,85464808.000000,1956484864.000000,6.338166
20230407,6.25,6.26,6.3,6.24,109344.468750,72967544.000000,1956484864.000000,6.322533
20230410,6.27,6.25,6.31,6.22,154986.625000,103211176.000000,1956484864.000000,6.308026
20230411,6.24,6.24,6.25,6.18,149114.156250,98670512.000000,1956484864.000000,6.294421
20230412,6.25,6.26,6.29,6.22,136874.046875,91089968.000000,1956484864.000000,6.287537
20230413,6.26,6.21,6.27,6.19,164666.843750,108808272.000000,1956484864.000000,6.272030
20230414,6.2,6.2,6.24,6.2,117693.312500,77786088.000000,1956484864.000000,6.257624
20230417,6.22,6.33,6.34,6.2,266849.875000,178893504.000000,1956484864.000000,6.272099
20230418,6.32,6.35,6.4,6.28,192672.000000,129944512.000000,1956484864.000000,6.287679
20230419,6.55,6.4,6.63,6.4,471329.437500,325566624.000000,1956484864.000000,6.310143
20230420,6.34,6.34,6.38,6.28,229738.875000,154225760.000000,1956484864.000000,6.316115
20230421,6.35,6.31,6.5,6.31,274790.312500,186816736.000000,1956484864.000000,6.314892
20230424,6.28,6.21,6.29,6.18,215762.593750,142784752.000000,1956484864.000000,6.293913
20230425,6.2,6.09,6.26,6.07,201666.859375,131744280.000000,1956484864.000000,6.253131
20230426,6.15,6.16,6.26,6.08,222245.281250,145794784.000000,1956484864.000000,6.234505
20230427,6.17,6.11,6.17,6.08,215224.562500,140128304.000000,1956484864.000000,6.209604
20230428,6.12,6.17,6.17,6.1,203886.593750,133209168.000000,1956484864.000000,6.201683
20230504,6.14,6.13,6.18,6.11,255031.781250,166733520.000000,1956484864.000000,6.187346
20230505,6.13,6.12,6.14,6.07,159498.875000,103664704.000000,1956484864.000000,6.173877
20230508,6.11,6.14,6.15,6.09,205996.062500,134438080.000000,1956484864.000000,6.167102
20230509,6.13,6.14,6.18,6.09,192678.875000,125881512.000000,1956484864.000000,6.161682
20230510,6.14,6.21,6.22,6.11,182013.265625,119484768.000000,1956484864.000000,6.171345
20230511,6.22,6.18,6.22,6.16,111501.710938,73418352.000000,1956484864.000000,6.173076
20230512,6.18,6.12,6.18,6.1,115003.562500,75163888.000000,1956484864.000000,6.162461
20230515,6.11,6.15,6.16,6.09,111742.421875,72874624.000000,1956484864.000000,6.159969
20230516,6.15,6.07,6.15,6.06,172772.125000,112135344.000000,1956484864.000000,6.141975
20230517,6.06,6.08,6.09,6.05,74051.328125,47911940.000000,1956484864.000000,6.129580
20230518,6.09,6.01,6.09,5.99,123126.921875,79308072.000000,1956484864.000000,6.105664
20230519,6.01,5.93,6.01,5.9,137305.843750,86941632.000000,1956484864.000000,6.070531
20230522,5.92,5.93,5.93,5.89,97794.257812,61692916.000000,1956484864.000000,6.042425
20230523,5.91,5.96,6.01,5.91,101801.296875,64829992.000000,1956484864.000000,6.025940
